Signal Photons,Reflectivity,Channel,Ambiant Photons,Range,Raw Timestamp,Point:0,Point:1,Point:2,Point ID,Angle,Range(m)
0,0,0,0,0,0.0,0.0,0.0,0.0,223,,0.0
588,98,0,118,8027,610640000000.0,7.73439,-0.218659,2.13473,224,-0.8096890460250774,7.737480237802291
850,112,1,114,8114,610640000000.0,7.8934,-0.227141,1.86396,225,-0.8241461375510656,7.8966674359428985
688,117,2,80,5115,610640000000.0,5.01605,-0.146006,0.989312,226,-0.8336406321929958,5.0181745041933326
769,119,3,160,5128,610640000000.0,5.06187,-0.148484,0.806378,227,-0.8401112260728367,5.064047333423731
376,101,4,142,4372,610640000000.0,4.33773,-0.129846,0.529895,228,-0.8572925111026395,4.339672975768566
395,103,5,95,4162,610640000000.0,4.14495,-0.125385,0.35425,229,-0.8663362921353993,4.146846018448841
111,29,6,62,4014,610640000000.0,4.00731,-0.122067,0.196465,230,-0.872375977028741,4.009168715405851
139,26,7,96,4750,610640000000.0,4.74737,-0.146222,0.0599493,231,-0.8820942611711384,4.749621331241471
65,12,8,81,1860,610640000000.0,1.85858,-0.0577684,-0.0439215,232,-0.8901473820890591,1.8594775622304667
0,0,0,0,0,0.0,0.0,0.0,0.0,233,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,234,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,235,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,236,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,237,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,238,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,239,,0.0
586,98,0,95,7737,610640000000.0,7.45354,-0.256508,2.05749,240,-0.9855067467570644,7.457952459332521
862,113,1,93,8121,610640000000.0,7.89866,-0.275808,1.86557,241,-0.999930139277004,7.903473910152674
318,71,2,83,5040,610640000000.0,4.94153,-0.174193,0.974771,242,-1.0094437146954018,4.944599270127863
781,120,3,118,5158,610640000000.0,5.09047,-0.180589,0.811106,243,-1.0158836123280945,5.093672271340295
