Signal Photons,Reflectivity,Channel,Ambiant Photons,Range,Raw Timestamp,Point:0,Point:1,Point:2,Point ID,Angle,Range(m),phi
764,119,3,90,5132,530000000000.0,5.06799,0.00686296,0.807008,147,0.0013541770613026208,5.131844858565383,40.47620031152985
283,75,4,115,4260,530000000000.0,4.22851,0.00318421,0.516283,148,0.0007530334321359753,4.25991256898335,41.51944316235857
451,106,5,99,4179,530000000000.0,4.16379,0.00182762,0.355701,149,0.00043893181035296,4.178956054530349,42.55861808379766
77,18,6,48,4079,530000000000.0,4.07409,0.000932579,0.199657,150,0.00022890485573753928,4.0789794208174905,43.59718876240292
338,40,7,217,6392,530000000000.0,6.39149,-0.000634448,0.080726,151,-9.926449042651532e-05,6.3919998052018325,44.63818975285601
43,8,8,61,1857,530000000000.0,1.85648,-0.000728852,-0.0438502,152,-0.00039259887666609456,1.8569979433659258,45.6765395044436
0,0,0,0,0,0.0,0.0,0.0,0.0,153,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,154,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,155,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,156,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,157,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,158,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,159,0.0,0.0,0.0
823,113,0,131,8121,530000000000.0,7.82803,-0.0291158,2.15976,160,-0.0037194116191424788,8.120558150047916,37.287938173145015
805,109,1,93,8064,530000000000.0,7.84794,-0.0331553,1.85246,161,-0.004224688612285717,8.063675934033938,38.35944207415616
755,120,2,71,5127,530000000000.0,5.0299,-0.0229152,0.991638,162,-0.0045557648193485815,5.126769454484474,39.42367646990387
734,118,3,97,5132,530000000000.0,5.06794,-0.0242338,0.807008,163,-0.004781748658587422,5.131848110839451,40.47620320252704
267,70,4,121,4288,530000000000.0,4.25624,-0.0229095,0.519686,164,-0.005382515731936929,4.2879106009088215,41.5193774741971
278,77,5,98,4200,530000000000.0,4.18464,-0.023839,0.357494,165,-0.005696724716986125,4.199950260128921,42.55857678828391
55,14,6,72,4028,530000000000.0,4.02309,-0.0237676,0.197153,166,-0.0059077285104214405,4.027988003000848,43.59724632036981
363,46,7,210,6285,530000000000.0,6.28437,-0.0391885,0.0793721,167,-0.006235786888727284,6.284993394243996,44.63820111275188
47,8,8,71,1853,530000000000.0,1.85244,-0.0120943,-0.0437551,168,-0.006528755674177965,1.852996150689067,45.67653016824045
0,0,0,0,0,0.0,0.0,0.0,0.0,169,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,170,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,171,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,172,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,173,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,174,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,175,0.0,0.0,0.0
852,115,0,117,8136,530000000000.0,7.84216,-0.0772891,2.16376,176,-0.009855269175189849,8.135558026846025,37.28789944324175
805,109,1,87,8076,530000000000.0,7.85926,-0.0814293,1.85522,177,-0.010360566567645682,8.075669614768703,38.359424928361655
745,119,2,78,5122,530000000000.0,5.02476,-0.0537254,0.990669,178,-0.01069172513992527,5.121769669144265,39.42368743706556
790,121,3,90,5133,530000000000.0,5.06868,-0.0553403,0.807166,179,-0.010917655329696142,5.132844868370764,40.47619610950799
302,82,4,125,4267,530000000000.0,4.23517,-0.0487859,0.517134,180,-0.011518721167729782,4.266904330647081,41.51941861848982
478,108,5,96,4201,530000000000.0,4.18541,-0.0495268,0.357579,181,-0.011832649259318472,4.200949001506593,42.558576866957495
50,13,6,69,4016,530000000000.0,4.01088,-0.0483086,0.196564,182,-0.0120438068961703,4.015984250632709,43.59725679787332
411,83,7,97,5034,530000000000.0,5.03321,-0.062317,0.0635428,183,-0.012380531715303015,5.033996821614099,44.638375720510474
48,9,8,57,1838,530000000000.0,1.83733,-0.0232723,-0.0433986,184,-0.012665691814307514,1.8379898169819249,45.676496601116796
0,0,0,0,0,0.0,0.0,0.0,0.0,185,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,186,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,187,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,188,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,189,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,190,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,191,0.0,0.0,0.0
845,115,0,142,8152,530000000000.0,7.85696,-0.125652,2.16802,192,-0.015991081724119265,8.151559334698117,37.28788398875503
797,109,1,104,8085,530000000000.0,7.86737,-0.129796,1.85729,193,-0.01649651990024563,8.08466968172578,38.359416122547636
642,114,2,63,5091,530000000000.0,4.99393,-0.0840455,0.984658,194,-0.016827942427153957,5.090771244903295,39.4237745402696
694,116,3,85,5097,530000000000.0,5.0327,-0.0858356,0.801491,195,-0.017053923037231113,5.096844598701079,40.476274505832535
261,68,4,106,4266,530000000000.0,4.2338,-0.0747541,0.517012,196,-0.017654667958822288,4.2659057682526,41.51942523305568
530,112,5,96,4191,530000000000.0,4.17507,-0.0750286,0.356725,197,-0.01796868672993509,4.190953533665454,42.55859881746827
59,15,6,57,4005,530000000000.0,3.99952,-0.0727189,0.196024,198,-0.018179903690684306,4.004981108244234,43.597267158434725
309,62,7,61,4977,530000000000.0,4.97575,-0.0921462,0.0628216,199,-0.01851694079326548,4.976999652210255,44.6383857364086
47,8,8,64,1854,530000000000.0,1.85315,-0.0348444,-0.0437789,200,-0.01880057983170219,1.8539945109941858,45.676533654491436
0,0,0,0,0,0.0,0.0,0.0,0.0,201,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,202,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,203,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,204,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,205,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,206,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,207,0.0,0.0,0.0
848,115,0,146,8167,530000000000.0,7.87049,-0.174179,2.17202,208,-0.022127030558588612,8.166555090400173,37.28784151676398
820,110,1,105,8088,530000000000.0,7.86935,-0.178132,1.85798,209,-0.02263231202218638,8.087675198246032,38.359417785353656
644,114,2,88,5102,530000000000.0,5.0041,-0.114933,0.986791,210,-0.022963729070323416,5.10176272303701,39.42373432736445
622,113,3,107,4974,530000000000.0,4.91065,-0.113903,0.782104,211,-0.023190937963891035,4.9738459950751395,40.47653798117692
319,87,4,123,4233,530000000000.0,4.20052,-0.0999534,0.513001,212,-0.02379099279037049,4.232910225668926,41.51950747556404
445,106,5,98,4191,530000000000.0,4.17453,-0.100645,0.356725,213,-0.024104631311243966,4.190952500631568,42.55859821422271
89,23,6,49,4008,530000000000.0,4.002,-0.0973308,0.196171,214,-0.024315746323407553,4.007987069074654,43.597268066585606
370,78,7,57,4987,530000000000.0,4.98508,-0.122921,0.0629481,215,-0.024652783274623946,4.986992544804394,44.638383634469996
49,9,8,64,1837,530000000000.0,1.83591,-0.0457927,-0.0433748,216,-0.02493760969665242,1.8369931607788663,45.676492436683404
0,0,0,0,0,0.0,0.0,0.0,0.0,217,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,218,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,219,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,220,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,221,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,222,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,223,0.0,0.0,0.0
554,89,0,113,7992,530000000000.0,7.70067,-0.217707,2.1254,224,-0.028263648012776747,7.991560545146924,37.288129824504274
803,109,1,102,8098,530000000000.0,7.87783,-0.226694,1.86028,225,-0.028768259567292242,8.09766863714094,38.359402484524836
670,116,2,81,5141,530000000000.0,5.04155,-0.146747,0.994352,226,-0.029099300290162233,5.140768131749671,39.42364053849931
793,121,3,108,5121,530000000000.0,5.05496,-0.148282,0.805274,227,-0.029325551666125053,5.1208470362040694,40.47622601865415
359,100,4,121,4312,530000000000.0,4.2782,-0.128067,0.522603,228,-0.029925849027263515,4.311903325922092,41.519316359667776
371,101,5,83,4201,530000000000.0,4.18379,-0.126558,0.357579,229,-0.030240384760672215,4.200949706043265,42.558577277400026
112,29,6,54,4028,530000000000.0,4.02129,-0.122492,0.197153,230,-0.030451456060685216,4.027982976574379,43.59724456850574
106,20,7,97,4716,530000000000.0,4.71339,-0.145177,0.0595191,231,-0.030791238643583064,4.7160008669097815,44.638434781588806
63,11,8,68,1831,530000000000.0,1.8296,-0.0568711,-0.0432322,232,-0.031073892741708534,1.8309941302833415,45.67647754035934
0,0,0,0,0,0.0,0.0,0.0,0.0,233,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,234,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,235,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,236,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,237,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,238,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,239,0.0,0.0,0.0
556,90,0,99,7710,530000000000.0,7.42753,-0.255614,2.05029,240,-0.03440082495978913,7.709554429537157,37.28854961892596
832,111,1,106,8115,530000000000.0,7.89283,-0.275604,1.86419,241,-0.03490409251455281,8.114673581224078,38.359389974463895
313,69,2,60,5064,530000000000.0,4.96506,-0.175021,0.979424,242,-0.03523594081586403,5.063765844291875,39.42383572073932
798,121,3,108,5169,530000000000.0,5.10132,-0.180974,0.81284,243,-0.035461044638453225,5.168841862223684,40.47612152630098
515,108,4,118,4416,530000000000.0,4.3805,-0.158032,0.535243,244,-0.03606060818870635,4.415907543424455,41.519089696808024
327,86,5,80,4293,530000000000.0,4.27454,-0.155556,0.365433,245,-0.036375232325158754,4.292951334248387,42.55842357350603
115,28,6,74,4038,530000000000.0,4.03044,-0.147529,0.197644,246,-0.03658736142028147,4.03797901804566,43.59723224189224
138,18,7,198,5628,530000000000.0,5.62371,-0.207719,0.0710589,247,-0.03691950941336687,5.627993489186906,44.63828287509405
51,9,8,62,1797,530000000000.0,1.79525,-0.0668359,-0.042424,248,-0.03721211363638415,1.7969945452907778,45.67639103503244
0,0,0,0,0,0.0,0.0,0.0,0.0,249,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,250,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,251,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,252,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,253,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,254,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,255,0.0,0.0,0.0
611,100,0,100,7725,530000000000.0,7.44027,-0.301769,2.05429,256,-0.04053665940372984,7.724557567030036,37.28851097736403
314,38,1,87,7980,530000000000.0,7.75972,-0.318642,1.83313,257,-0.04104053766569076,7.979671221263693,38.359558947180915
711,118,2,77,5157,530000000000.0,5.05505,-0.209252,0.997454,258,-0.04137102576651658,5.156765593288102,39.42359697053343
780,120,3,117,5178,530000000000.0,5.109,-0.212641,0.814259,259,-0.041596856863526925,5.17784848310203,40.47610673666108
222,52,4,123,4464,530000000000.0,4.42705,-0.186914,0.541077,260,-0.042195831108445755,4.463907802119685,41.518986328052925
