Angle,Range
-8.215872799,8.650915972
-8.2223601,8.656571689
-8.239872818,5.138707723
-8.248759741,5.427154953
-8.254965645,4.679368047
-8.264942034,4.580630739
-8.27275258,1.985439374
-8.290870926,0.84148329
,0
,0
,0
,0
,0
,0
-8.368221001,8.161588732
-8.382713395,8.187646307
-8.391658915,8.672497057
-8.398134194,8.689153905
-8.415653944,5.133742226
-8.424566731,5.441109831
-8.430768503,4.659383813
-8.440733653,4.628628897
-8.448573784,1.949451617
,0
,0
,0
,0
,0
,0
,0
-8.54400884,8.175083245
-8.55849047,8.213918737
-8.567428906,8.721555406
-8.573927859,8.733593678
-8.591415307,5.133744781
-8.600354362,5.423173017
-8.606389579,5.046919492
-8.616406759,5.054596645
-8.624382977,1.94644895
,0
,0
,0
,0
,0
,0
,0
-8.719780974,8.215559553
-8.734251384,8.233386376
-8.74319464,8.765697272
-8.749706358,8.761239894
-8.766857568,7.084182253
-8.776051621,5.649346023
-8.782211145,5.054908742
-8.792198226,5.04259547
-8.800122388,1.960449882
-8.818529618,0.806547868
,0
,0
,0
,0
,0
,0
-8.895574362,8.234837894
-8.910031331,8.26549973
-8.91899436,8.794145357
-8.925464534,8.778028057
-8.942629711,7.08119999
-8.951882929,5.586574329
-8.957973675,5.072890447
-8.96775623,5.927525707
-8.975965342,1.916462121
-8.994158045,0.823516908
,0
,0
,0
,0
,0
,0
-9.071356506,8.260868463
-9.085806667,8.300535265
-9.094761759,8.820634648
-9.101254323,8.81061762
-9.118395094,7.167557056
-9.127622464,5.577608499
-9.133768855,5.088872775
-9.143898533,4.480636507
-9.151678697,1.974442835
,0
,0
,0
,0
,0
,0
,0
-9.247102825,8.423758793
-9.261591094,8.419258026
-9.270540037,8.843198157
-9.277035945,8.849134544
-9.294004217,8.814254298
-9.303433593,5.583582905
-9.309527964,5.0938611
-9.319702218,4.487642098
-9.32744815,1.978442683
-9.345582316,0.837490494
,0
,0
,0
,0
,0
,0
-9.422845798,8.896060338
-9.43733502,8.899034736
-9.44633283,8.878513815
-9.45282059,8.879741299
-9.469787906,8.905575438
-9.478784176,8.90442093
-9.485296615,5.113835158
-9.495442387,4.482638401
-9.503193394,2.003432579
,0
,0
,0
,0
,0
,0
,0
-9.598626121,8.923051809
-9.613124326,8.930175077
-9.622098926,8.914818651
-9.628599747,8.905419735
-9.645550125,8.927413948
-9.654568187,8.644371126
-9.661066254,5.133811109
-9.671221879,4.474637072
-9.678966696,2.009430593
,0
,0
,0
,0
,0
,0
,0
-9.77440668,8.953891296
-9.788899179,8.947689491
-9.797885149,8.943264054
-9.804378154,8.940971105
-9.821342011,8.957193376
-9.830450731,7.520491984
-9.836843138,5.153791221
-9.847045737,4.473644482
-9.854759362,1.992437913
,0
,0
,0
,0
,0
,0
,0
-9.950183812,8.967389189
-9.964660143,8.982731478
-9.973653625,8.979563023
-9.98014634,8.977503834
-9.997109364,8.990939775
-10.00625091,7.448750685
-10.01261702,5.177757383
-10.02281092,4.472642747
-10.0305557,1.992436525
,0
,0
,0
,0
,0
,0
,0
-10.1259757,9.001123532
-10.1404449,9.021650873
-10.14941324,9.014879728
-10.15591309,9.015028785
-10.17290613,9.020711031
-10.18205043,7.45871836
-10.18842248,5.205730108
-10.19861873,4.475637889
-10.20637757,1.963445822
,0
,0
,0
,0
,0
,0
,0
-10.30175057,9.055102133
-10.31621339,9.050849112
-10.32519854,9.054119965
-10.33170811,9.067367986
-10.34866319,9.055454272
-10.35781003,7.475648376
-10.36420806,5.200730525
-10.37436826,4.431642969
-10.38209173,1.99943858
,0
,0
,0
,0
,0
,0
,0
-10.47751057,9.10039689
-10.49200724,9.100480452
-10.50097462,9.094343285
-10.50747989,9.095018554
-10.52446646,9.090191916
-10.53359352,7.500560864
-10.5399601,5.210723483
-10.54991803,5.207584788
-10.55793456,1.968443519
,0
,0
,0
,0
,0
,0
,0
-10.65331287,9.134135323
-10.66778236,9.140380785
-10.67677101,9.125739533
-10.6832512,9.127599208
-10.70023745,9.13088933
-10.70936122,7.517504931
-10.7157088,5.256669246
-10.72566426,5.487561231
-10.73365199,1.998438554
,0
,0
,0
,0
,0
,0
,0
-10.8290603,9.155343605
-10.84354387,9.176392949
-10.85253735,9.150254712
-10.85902915,9.174018632
-10.87600361,9.161661733
-10.88515459,7.543409986
-10.89150909,5.258660129
-10.90147251,5.404566258
-10.9094106,2.013434851
,0
,0
,0
,0
,0
,0
,0
-11.00485784,9.178474277
-11.01934413,9.206556702
-11.02830541,9.192444951
-11.0348172,9.198708783
-11.05178851,9.196397972
-11.06091084,7.569312888
-11.06727833,5.251669927
-11.07725999,5.392572471
-11.08526336,1.97044521
,0
,0
,0
,0
,0
,0
,0
-11.18063886,9.210282263
-11.19509909,9.247432753
-11.20409933,9.240517671
-11.21060524,9.228326237
-11.22755661,9.234119714
-11.23669427,7.591229422
-11.2430698,5.374523869
-11.25304858,5.375569828
-11.26109772,1.944450902
-11.27876015,0.889396373
,0
,0
,0
,0
,0
,0
-11.35641303,9.282578372
-11.37088881,9.296091044
-11.37987704,9.281719972
-11.38635882,9.272764536
-11.4033594,9.268860828
-11.41247514,7.593222489
-11.41879225,5.579276435
-11.42880545,5.387569458
-11.43682219,1.9824406
-11.45501889,0.832499907
,0
,0
,0
,0
,0
,0
-11.53218526,9.325946807
-11.546659,9.323334462
-11.55563973,9.304282216
-11.56214345,9.32115738
-11.57912819,9.307574763
-11.58828323,7.638058998
-11.59455622,5.707127824
-11.60459417,5.423567658
-11.61274511,1.905458369
,0
,0
,0
,0
,0
,0
,0
-11.70795365,9.355825275
-11.72245165,9.357397801
-11.73143907,9.332726323
-11.73791974,9.351762825
-11.75489816,9.353234366
-11.76388573,9.364731076
-11.77032313,5.672164756
-11.78032005,5.535557726
-11.78849352,1.921456551
,0
,0
,0
,0
,0
,0
,0
-11.88372902,9.39245624
-11.89823134,9.406060154
-11.90722485,9.381785206
-11.9137019,9.381388041
-11.93067035,9.397895278
-11.93965967,9.387651773
-11.94614082,5.685148792
-11.95602458,6.020518741
-11.96419548,1.951451203
,0
,0
,0
,0
,0
,0
,0
-12.05952506,9.428120349
-12.07400801,9.444009599
-12.08300328,9.429852452
-12.08949242,9.418917818
-12.10645723,9.434625762
-12.11545086,9.435475828
-12.12180915,6.089660666
-12.13181444,6.016512741
-12.14002502,1.920461529
,0
,0
,0
,0
,0
,0
,0
-12.23529333,9.470529419
-12.24979239,9.488779095
